제목,본문,URL,날짜,요약
[그래픽] 2026 월드컵 아시아 3차 예선 축구 국가대표팀 명단,"김민지기자 구독 구독중 김영은기자 구독 구독중 이전 다음 이미지 확대 (서울=연합뉴스) 김영은 김민지 기자 = 홍명보 축구대표팀 감독은 2026 북중미 월드컵 아시아지역 3차 예선 7·8차전에 나설 28명을 10일 발표했다. B조에 속한 한국은 20일 오후 8시 고양종합운동장에서 오만을 상대로 7차전을, 25일 오후 8시 수원월드컵경기장에서 요르단을 상대로 8차전을 차례로 치른다. minfo@yna.co.kr X(트위터) @yonhap_graphics 페이스북 tuney.kr/LeYN1 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>",https://www.yna.co.kr/view/GYH20250310000700044,2025-03-10,"축구대표팀 감독 홍명보는 2026 북중미 월드컵 아시아지역 3차 예선 7·8차전을 위해 28명의 선수 명단을 발표했다. 한국은 B조에 속해 20일 고양종합운동장에서 오만과, 25일 수원월드컵경기장에서 요르단과 각각 경기를 치를 예정이다."
"16년 만에... 감격' 뉴질랜드 축구 대표팀, 2026 북중미 월드컵 진출 확정","- 뉴질랜드, 월드컵 최종예선 결승에서 뉴 칼레도니아(3:0 승) 잡아내 - 2010 남아공 월드컵 이후 16년 만에 월드컵 진출하는 뉴질랜드 뉴질랜드 축구 대표팀 / 출처 - 뉴질랜드 축구 대표팀 페이스북 뉴질랜드 축구 대표팀이 FIFA(국제축구연맹) 북중미 월드컵 오세아니아 최종예선 결승전에서 뉴 칼레도니아에게 3:0으로 승리하며 월드컵 진출을 확정시켰다. 1982년, 2010년에 이어 16년 만에 월드컵 진출이란 감동적인 역사를 써 내려간다. 이날 뉴질랜드는 후반 17분 마이클 박스올, 후반 21분 코스타 바바루세스, 후반 35분 엘리자 저스트의 골에 힘입어 3:0으로 뉴 칼레도니아를 제압하며 월드컵 진출의 영광을 맛봤다. 뉴질랜드는 준결승전에서 피지를 만나 7:0의 대승을 거뒀고, 뉴 칼레도니아와의 결승전에서도 화력을 멈추지 않으며 오세아니아 대륙의 일인자라는 것을 결과로 증명해냈다. 뉴질랜드 축구 대표팀의 크리스 우드 / 출처 - 크리스 우드 인스타그램 이번 월드컵에서 다소 약팀으로 평가받고 있는 뉴질랜드를 만만하게만 본다면 큰 코 다친다. 피지전에 해트트릭을 기록한 '핵심 공격수' 크리스 우드가 전방을 책임지고 있기 때문이다. 우드는 잉글랜드 프리미어리그(EPL)의 노팅엄 포레스트 소속으로 올 시즌 리그 29경기 18골 3도움을 기록하며 '제2의 전성기'를 누리고 있다. 그의 활약 덕에 노팅엄은 리그 3위로 UEFA(유럽축구연맹) 챔피언스리그(UCL) 티켓을 얻기 위해 순탄하게 나아가고 있다. 월드컵에서 16년 만에 이름을 올릴 뉴질랜드의 우드를 주목해야할 필요가 있다. 저작권자 ? 한국연예스포츠신문 무단전재 및 재배포 금지",http://www.koreaes.com/news/articleView.html?idxno=365461&replyAll=&reply_sc_order_by=C,2025-03-25,"뉴질랜드 축구 대표팀이 뉴 칼레도니아를 3:0으로 이기며 16년 만에 월드컵 진출을 확정시켰다. 결승전에서 마이클 박스올, 코스타 바바루세스, 엘리자 저스트의 골로 승리했고, 크리스 우드의 활약도 주목받고 있다. 우드는 올 시즌 리그에서 18골 3도움을 기록하며 노팅엄 포레스트를 UEFA 챔피언스리그 티켓 획득으로 이끌고 있어 월드컵에서 뉴질랜드를 이끌 것으로 기대된다."
"일본 축구, 벌써 2026 월드컵 본선 준비···“9월 A매치, 멕시코와 미국서 맞대결 예정”","일본 축구대표팀이 2026 북중미월드컵 본선 진출을 기정사실화하고 일찌감치 준비에 나서고 있다. 오는 9월 A매치에 멕시코를 상대로 미국에서 맞붙어 월드컵 본선 적응 전초전에 나설 계획이다. 일본 축구 전문 매체 풋볼존은 11일 ESPN의 보도를 인용 “일본 축구대표팀 감독이 9월 A매치 기간에 미국에서 멕시코와 평가전을 치르게 해달라고 일본축구협회에 요청했다”고 밝혔다. 모리야스 하지메 일본 대표팀 감독이 북중미월드컵 공동개최국인 멕시코와 대회 주요 개최지인 미국에서 맞붙겠다는 의지를 보였다는 것이다. 9월이면 아시아 3차예선이 끝나고 2026 월드컵 본선 직행팀이 가려질 시기다. 일본은 현재 C조에서 5승1무로 압도적인 선두에 올라 있어 사실상 본선행 티켓을 99% 확정했다. 이달 열리는 바레인(20일), 사우디아라비아(25일)전에서 1승만 거둬도 본선행을 확정한다. 국제축구연맹(FIFA) 랭킹 15위로 아시아 최고인 일본은 9월부터 월드컵 본선 준비 체제에 돌입하는 모양새다. 월드컵에서 맞붙을 수 있는 랭킹 19위 공동개최국 멕시코를 상대로 현지 적응을 겸해 평가전을 치르겠다는 계획을 세운 것으로 보인다. ESPN Deportes는 “멕시코 축구협회는 최근 기자회견에서 9월에 아시아 라이벌과 2경기 A매치를 계획하고 있음을 확인했다”면서 “일본과의 대결 가능성을 포함해 아직 구체적인 장소는 결정되지 않았다”고 전한 바 있다. 2026년 북중미 월드컵은 2026년 6월 11일부터 2026년 7월 19일까지 미국, 캐나다, 멕시코에서 열린다.",https://sports.khan.co.kr/article/202503111350003,2025-03-11,"일본 축구대표팀은 2026 북중미월드컵 본선 진출을 확정하고, 9월 A매치에서 멕시코와 미국에서 평가전을 치를 계획이다. 현재 아시아 3차예선에서 C조 선두로 99% 본선행을 확정했으며, FIFA 랭킹 15위인 일본은 월드컵 본선을 준비하고 있다. 멕시코도 아시아 라이벌과의 대결을 포함한 2경기 A매치를 계획 중이지만, 구체적인 일정과 장소는 아직 확정되지 않았다. 2026 북중미월드컵은 미국, 캐나다, 멕시코에서 개최될 예정이다."
"日 축구, 제일 빨리 2026 월드컵 본선 확정 도전…성공하면 벌써 4번째 ‘첫 진출국’ 금자탑","일본 축구가 또 한 번 세계 최초라는 금자탑을 쌓을 준비를 하고 있다. 오는 20일 바레인과의 2026 북중미 월드컵 아시아 3차 예선 7차전에서 승리하면, 개최국을 제외한 45개국 중 가장 먼저 본선 진출을 확정한다. 성공할 경우 역대 네 번째 최초 본선 진출국 확정이라는 기록을 쓴다. 디펜딩 챔피언 아르헨티나도 22일 우루과이전에서 승리해도 본선행이 확정되지 않기 때문에, 일본은 이틀 앞선 경기에서 먼저 본선행을 확정지을 수 있다. 일본은 현재 C조에서 5승 1무(승점 16점)의 성적에 22득점, 2실점을 기록하며 2위 호주(승점 7점)를 9점 차로 앞서고 있다. 바레인전에서 승리해 승점 19점을 쌓으면 최소 조 2위를 확보해 본선행 티켓을 거머쥔다. 미야모토 쓰네야스 일본축구협회장은 “20일에 본선 진출을 확정하겠다”며 자신감을 드러냈다. 일본은 중국을 7-0으로 대파하는 등 압도적인 경기력을 보였다. 호주와의 홈경기 1-1 무승부를 제외하면 모든 경기에서 최소 두 골 차 이상의 완승을 하며 독주해왔다. 일본은 이미 2006 독일 월드컵, 2010 남아공 월드컵, 2014 브라질 월드컵에서도 개최국을 제외하고 세계 최초로 본선행을 확정 지었다. 독일 월드컵 당시에는 한국, 이란, 사우디아라비아, 아르헨티나가 모두 2005년 6월 8일 본선행을 확정 지었지만, 일본이 시간상 가장 앞서 최초 기록을 세웠다. 모리야스 하지메 일본 대표팀 감독은 “조기에 월드컵 출전권을 획득하면 장점이 많다. 더 많은 선수를 테스트하고 전력이 될 선수들을 늘려갈 수 있다”며 “전술적인 부분도 다양하게 시도하면서 최종 목표를 향해 나아갈 수 있다”고 말했다. 한국 역시 B조에서 4승 2무(승점 14) 무패 행진을 이어가고 있다. 20일 오만전과 25일 요르단전 2연승 시 11회 연속 월드컵 본선에 진출한다.",https://sports.khan.co.kr/article/202503131640003,2025-03-13,"일본 축구대표팀은 바레인과의 경기에서 승리하면 세계 최초로 2026 북중미 월드컵 본선 진출을 확정할 수 있다. 현재 C조에서 5승 1무로 2위 호주를 9점 차로 앞서고 있으며, 바레인전에서 승리하면 최소 조 2위를 확보하여 본선행 티켓을 획득할 것으로 예상된다. 이는 일본이 이미 2006, 2010, 2014 월드컵에서 개최국을 제외하고 최초로 본선행을 확정한 네 번째 기록이 될 것으로 보인다. 한편 한국 대표팀도 오만전과 요르단전에서 2연승 시 11회 연속 월드컵 본선 진출이 가능하다."
[그래픽] 2026 월드컵 아시아 3차 예선 축구 국가대표팀 명단,"김영은기자 구독 구독중 이전 다음 이미지 확대 (서울=연합뉴스) 김영은 기자 = 홍명보 감독은 26일 오전 서울 종로구 축구회관에서 9월 A매치 2연전에 나설 26명의 국가대표 명단을 발표했다. 이들은 2026 북중미 월드컵 아시아 3차 예선 1, 2차전에 나선다. 대표팀은 내달 5일 오후 8시 서울월드컵경기장에서 팔레스타인을 상대로 1차전을 치르고 한국시간 10일 오후 11시 오만 무스카트의 술탄카부스 경기장에서 오만과 2차전을 소화한다. 0eun@yna.co.kr X(트위터) @yonhap_graphics 페이스북 tuney.kr/LeYN1 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>",https://www.yna.co.kr/view/GYH20240826000300044,2024-08-26,"홍명보 감독이 9월 A매치 2연전을 위해 국가대표팀 26명 명단을 발표했다. 한국은 2026 북중미 월드컵 아시아 3차 예선에서 팔레스타인과 오만과 맞붙일 예정이다. 1차전은 내달 5일 서울에서, 2차전은 10일 오만 무스카트에서 열릴 것이다."
"일본 축구대표팀, 2026 월드컵 본선행 확정... 가장 먼저 티켓 확보","일본 축구대표팀이 2026 국제축구연맹(FIFA) 연합뉴스 [스페셜타임스] 정시환 기자=일본 축구대표팀이 2026 국제축구연맹(FIFA) 북중미 월드컵 본선 진출을 가장 먼저 확정지은 나라가 되었다. 일본 사이타마 스타디움에서 열린 바레인과의 3차 예선 C조 경기에서 후반전 가마다 다이치와 구보 다케후사의 연속 골에 힘입어 2-0으로 승리했다. 모리야스 하지메 감독의 지휘 아래 일본은 이 경기에서 승점 19를 기록하며 6승 1무의 무패 행진을 이어갔다. 이에 따라 남은 경기 결과와 관계없이 최소 조 2위를 확정, 월드컵 본선행 티켓을 손에 넣었다. 반면 3위인 사우디아라비아는 남은 경기에서 모두 승리하더라도 일본을 따라잡을 수 없다. 아시아 3차 예선에서는 각 조 상위 두 팀이 직접 본선에 진출하며, 3위와 4위 팀은 4차 예선에 진출하여 추가적인 본선 티켓을 놓고 경쟁한다. 북중미 월드컵은 본선에 참가하는 국가 수가 48개국으로 확대되며, 개최국인 미국, 캐나다, 멕시코는 이미 자동 진출이 결정된 상태다. 일본은 그 외 국가들 중 가장 먼저 본선행을 확정지었다. 일본은 2006 독일 월드컵부터 2014 브라질 월드컵까지 월드컵 본선 진출을 가장 먼저 확정했던 이력이 있으며, 이번 대회로 8회 연속 본선 무대에 나서게 된다. 일본의 역대 월드컵 최고 성적은 16강(2002, 2018, 2022년)이다. 모리야스 감독은 2018년부터 일본 대표팀을 이끌어 2회 연속 월드컵 진출의 쾌거를 이뤘다. 이날 경기에서 일본은 초반 엔도 와타루의 득점이 VAR 판독에 의해 취소되기도 했으나 경기 후반전 승기를 잡았다. 후반 21분, 우에다의 스루패스를 받은 구보가 가마다에게 이어지는 패스로 첫 득점을 올렸다. 이는 양 팀 간 경기에서 처음 나온 유효 슈팅이었다. 불과 몇 분 뒤, 구보는 코너킥 상황에서 다시 골문을 흔들며 쐐기골을 기록, 바레인의 추격 의지를 완전히 꺾었다. 바레인은 결과적으로 승점 6을 기록하며 5위에 머물렀다. 일본은 이로써 월드컵에 대한 강력한 의지를 다시 한번 세계에 알렸다.",https://www.specialtimes.co.kr/news/articleView.html?idxno=423062,2025-03-21,"일본 축구대표팀은 2026 FIFA 북중미 월드컵 본선 진출을 최초로 확정했다. 바레인과의 경기에서 2-0으로 승리하며 승점 19를 기록했고, 6승 1무의 무패 행진을 이어갔다. 이로써 일본은 최소 조 2위를 확정하고 월드컵 본선행 티켓을 획득했다. 이번 월드컵으로 일본은 8회 연속 본선에 진출하게 되며, 감독 모리야스는 2회 연속 월드컵 진출을 이룩했다."
[그래픽] 2026 월드컵 아시아 3차 예선 축구 국가대표팀 명단,"김민지기자 구독 구독중 김영은기자 구독 구독중 이전 다음 이미지 확대 (서울=연합뉴스) 김영은 김민지 기자 = 부상에서 회복해 그라운드로 돌아온 '캡틴' 손흥민(토트넘)이 2026 북중미 월드컵 아시아지역 3차 예선을 치르는 홍명보호에도 다시 합류한다. 홍명보 축구대표팀 감독은 4일 서울 신문로 축구회관에서 북중미 월드컵 아시아 3차 예선 5·6차전에 나설 26명의 선수를 발표하며 손흥민도 명단에 포함했다. minfo@yna.co.kr X(트위터) @yonhap_graphics 페이스북 tuney.kr/LeYN1 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>",https://www.yna.co.kr/view/GYH20241104000800044,2024-11-04,토트넘의 '캡틴' 손흥민이 부상에서 회복해 북중미 월드컵 아시아지역 3차 예선을 치르는 홍명보 축구대표팀에 합류한다. 홍명보 감독은 26명의 선수 명단을 발표하며 손흥민도 포함시켰다.
"[2026 FIFA 북중미 월드컵 3차 예선] 韓, 팔레스타인과 1-1 무승부","▲19일 오후(현지시간) 요르단 암만 국제경기장에서 열린 2026 북중미 월드컵 아시아 3차 예선 B조 한국과 팔레스타인의 경기에서 한국 대표팀 주장 손흥민이 동점골을 넣은 뒤 세리머니를 하고 있다. [사진=연합뉴스] [경기= 이한준 기자] 홍명보 감독이 이끄는 한국 축구 대표팀은 19일 요르단의 암만 국제경기장에서 열린 2026 북중미 월드컵 아시아 3차 예선 B조 6차전 원정 경기에서 팔레스타인과 무승부를 기록했다. 이날 경기에서 한국 대표팀 주장 손흥민은 한국 선수 A매치 통산 득점 순위에서 황선홍(50골) 대전하나시티즌 감독을 넘고 단독 2위로 올라섰다. 8골을 더 넣으면 이 부문 1위(58골)인 차범근 전 수원 삼성 감독을 넘어선다. 6경기 무패(4승 2무) 행진을 이어간 한국은 여전히 B조 선두(승점 14) 자리를 지키며 2024년 A매치 일정을 마쳤다. 손흥민은 경기 후 인터뷰에서 ""오늘 경기가 쉽지 않았다. 팔레스타인 팀에 박수를 보내주고 싶다""며 ""쉽지 않은 상황에서도 이렇게 열심히 하는 모습을 보면서 우리가 또 배워야 할 게 있다고 생각한다""고 말했다. 그러면서 ""우리가 경기를 (스스로) 어렵게 만든 것 같다. 우리의 실수로 어렵게 간 것 같은데, 실점 후 반등하고자 했을 때 바로 동점 골을 넣는 좋은 모습을 보여줬다고 생각한다""고 덧붙였다. 홍명보 감독은 ""무승부를 기록한 것은 결과적으로 아쉽다. 우리 선수들은 마지막까지 최선을 다해줬다""며 ""올해 마지막 A매치인데 승리하지 못해서 팬에게 미안한 마음뿐이다. 지난 5경기를 제외하고 오늘 경기를 놓고 보면 더 발전해야 하는 부분이 있다""고 밝혔다. 이어 ""한국으로 돌아가면 전체적으로 되돌아본 뒤 내년 3월 재개되는 경기에서 좋은 모습을 보여주겠다""고 말했다. 한국은 한 경기를 덜 치른 2위 요르단, 3위 이라크(이상 승점 8)와 격차는 승점 6으로 내년 3월 A매치 기간에 오만, 요르단을 상대로 치를 홈 2연전을 통해 본선행 조기 확정에 도전한다.",http://www.jonghapnews.com/news/articleView.html?idxno=442782,2024-11-20,"한국 축구 대표팀은 19일 팔레스타인과 무승부를 기록하며 2026 북중미 월드컵 아시아 3차 예선 B조 선두 자리를 지켰다. 손흥민은 A매치 득점 순위에서 2위로 올라섰고, 8골만 더 넣으면 1위가 된다. 홍명보 감독은 ""아쉽지만 선수들이 최선을 다했다""며 팬들에게 미안함을 표현했고, 내년 3월에 치를 홈 2연전을 통해 본선행 조기 확정에 도전할 계획이다."
"대한민국 축구대표팀, 2026 FIFA 월드컵 본선 진출을 위한 3차 예선 돌입","대한민국 축구대표팀이 2026 FIFA 월드컵 본선 진출을 위한 중요한 여정을 이어간다. 오는 3월 20일(목) 오만전과 3월 25일(화) 요르단전에서 승리를 거두며 조기 본선 진출 확정을 목표로 하고 있다. 3차 예선 경기 일정 대한민국 vs 오만 3월 20일(목) 20:00 고양종합운동장 쿠팡플레이, SBS 대한민국 vs 요르단 3월 25일(화) 20:00 수원월드컵경기장 쿠팡플레이, MBC 대한민국은 현재 3차 예선 조별리그에서 강력한 전력을 유지하고 있으며, 이번 두 경기에서 승리할 경우 조기 본선 확정이 가능할 전망이다. 손흥민(토트넘), 황희찬(울버햄튼), 이강인(PSG) 등 해외파 선수들과 국내파 선수들이 조화를 이루며 최상의 경기력을 선보일 것으로 기대된다. 한편, 한국 축구팬들의 뜨거운 응원이 선수들에게 큰 힘이 될 것으로 보인다. 대한축구협회는 많은 팬들이 경기장을 찾아 대표팀을 응원해 줄 것을 당부하며, 월드컵 본선 진출을 향한 응원의 메시지를 보내달라고 전했다.",http://www.e-fastnews.com/news/articleView.html?idxno=24704,2025-03-17,"대한민국 축구대표팀은 2026 FIFA 월드컵 본선 진출을 위해 오만과 요르단과의 3차 예선 경기를 치른다. 오만전은 3월 20일(목) 고양종합운동장에서, 요르단전은 3월 25일(화) 수원월드컵경기장에서 열리며, 승리 시 조기 본선 진출이 가능하다. 손흥민, 황희찬, 이강인 등 해외파 선수와 국내파 선수의 조화로운 플레이가 기대된다. 대한축구협회는 축구팬들의 열정적인 응원을 당부하며, 선수들에게 힘이 될 것으로 전했다."
"‘슈퍼볼처럼’ 2026 월드컵 결승전, 역사상 첫 하프타임 쇼  열린다","2026년 북중미 월드컵 결승전에서 사상 최초로 하프타임 뮤지컬 쇼가 열린다. 미국 슈퍼볼 방식을 참고한 이번 공연은 영국 밴드 콜드플레이가 기획자로 참여해 아티스트를 선정할 예정이다. 지아니 인판티노 국제축구연맹(FIFA) 회장은 5일 미국에서 열린 회의 이후 이를 공식 발표하며 “세계 최고 스포츠 이벤트에 걸맞은 쇼가 될 것”이라고 밝혔다. 영국 가디언은 “이번 공연은 슈퍼볼 하프타임 쇼를 모델로 삼았지만, 축구의 하프타임이 15분에 불과하다는 점에서 논란이 예상된다”고 전했다. 지난달 열린 슈퍼볼 LIX에서 켄드릭 라마의 공연은 13분 동안 진행됐다. 무대 설치 및 철거 시간을 고려하면 총 30분 이상이 소요됐다. 반면, FIFA 월드컵은 기존 축구 규칙을 유지해야 하는 만큼 짧은 시간 내에 공연을 어떻게 진행할지가 주요 과제로 떠올랐다. FIFA는 국제 빈곤 퇴치 단체 ‘글로벌 시티즌’과 협력해 이번 하프타임 쇼를 기획하고 있으며, 콜드플레이는 FIFA와 공동으로 출연 아티스트를 선정할 예정이다. 인판티노 회장은 자신의 인스타그램을 통해 “2026년 월드컵 결승전에서 역사상 첫 하프타임 쇼가 열린다”며 “뉴욕-뉴저지에서 열리는 월드컵 결승전은 단순한 경기 이상이 될 것이며, FIFA가 타임스퀘어를 완전히 점령하는 축제가 될 것”이라고 기대했다. 이번 행사에는 3·4위전과 결승전이 포함되며, 뉴욕 중심부에서 월드컵 대미를 장식하는 대규모 행사가 펼쳐질 예정이다. 축구계 인사들은 슈퍼볼을 벤치마킹하며 월드컵의 엔터테인먼트 요소를 강화하려는 움직임을 보여왔다.",https://sports.khan.co.kr/article/202503060926003,2025-03-06,"2026년 북중미 월드컵 결승전에서는 사상 첫 하프타임 뮤지컬 쇼가 열릴 예정이다. 미국 슈퍼볼 방식을 참고한 이번 공연은 영국 밴드 콜드플레이가 기획에 참여할 예정이며, FIFA 회장은 이를 세계 최고 스포츠 이벤트에 걸맞은 쇼로 소개했다. 하프타임 쇼의 시간이 축구의 15분에 불과하다는 점에서 논란이 예상되지만, FIFA는 빈곤 퇴치 단체와 협력하여 공연을 기획 중이며, 총 30분 이상의 시간을 고려해야 하는 문제에 직면하고 있다."
